cәлеметсіз бе hello 你好

Хукер hook 钩

Автоматты automatic 自动

Азия Asian 亚裔

Алға forward,forth 前进，前进

Алғыс айту Thanksgiving 感恩

Американдық American 美国人

Анашым mother,mom 妈妈，妈妈

Араб Arab 阿拉伯人

Арал island 岛

Арыстан lion 狮子

капитал capital 资本

Африка African 非洲的

Афроамерикалық African-American 非裔美国人

Ағасы brother 哥哥

Ағылшын English 英语

Ақтау justify,excuse 辩解，辩解

Батыс western,west 西方，西方

Болат steel 钢

Бостандық liberty,freedom 自由，自由

Британдық British 英国的

Біріктірілген United 联合

Бүкіләлемдік worldwide 全球

Бөтен alien 外人

Гауһар diamond 钻石

Голланд Dutch 荷兰语

Грек Greek 希腊语

ДК PC 个人电脑

ДНҚ DNA DNA

Даңқ fame,glory 名声，荣耀

Демократ Democrat 民主党人

Денсаулық health 健康

Денсаулық сақтау health-care 保健

Достық friendship,friendly 友谊，友好

Еврей Jewish,Jew 犹太人，犹太人

Елші ambassador 大使

Еуропалық European 欧洲人

Жапон Japanese 日语

Жарайды OK 还行,好吧

Жарма fraction 分数,薄片

Жарық light 光

Жеңіс triumph,victory 胜利，胜利

Жомарт generous 慷慨

Жоғары Supreme 最高的

Жоқ no,not,n't 不，不，不

Жібек silk 丝绸

Израиль Israeli 以色列人

Инвестициялар investment 投资

Интернет Internet 互联网

Инфрақұрылым infrastructure 基础设施

Ирак Iraqi 伊拉克人

Ирланд Irish 爱尔兰语

Ислам Islam,Islamic 伊斯兰教，伊斯兰教

Испан Spanish 西班牙语

Итальян Italian 意大利语

Иә yeah,yes 是的

Канадалық Canadian 加拿大的

Католик Catholic 天主教

Кеңес Soviet 苏维埃

Киелі кітап Bible 圣经

Конгресс Congress 国会

Конституциялық constitutional 宪法

Корей Korean 朝鲜语

Кубалық Cuban 古巴

Көңілді funny,fun 有趣，有趣

Латын Latin 拉丁语

Латын Америкасы Hispanic 西班牙的

Мексикалық Mexican 墨西哥人

Мырза Mr 先生

Мұсылман Muslim 穆斯林

Мұхит ocean 海洋

Мұқият thoroughly,carefully 彻底，仔细

Наурыз march 三月

Неліктен? why 为什么

Неміс German 德语

Нұсқаулық manual,instruction 手册，说明

Олимпиада Olympic 奥林匹克

Олимпиада ойындары Olympics 奥运会

Орындаушы performer 演员

Орыс Russian 俄语

Отан homeland 家园,祖国

Оңтүстік southern,south 南

Оңтүстік-Шығыс southeast 东南

Палестиналық Palestinian 巴勒斯坦人

Парақ leaf,sheet 叶子，片材

Парсы Persian 波斯语

Рим Roman 罗马

Рождество Christmas 圣诞节

Сағыз rubber 橡胶

Сен you 你

Сенат Senate 参议院

Серік companion 同伴

Солтүстік north,northern 北，北

Сұлулық beauty 美

Сәлем hi 你好

Тарихи historic,historical 历史，历史

Теледидар TV 电视

Тоңазытқыш refrigerator 冰箱

Тыныштықпен демалыңыз rip 把

Түркия turkey 土耳其

Тәуелсіздік independence 独立

Төраға chairman 主席

УФ uh 呃

Флот naval 海军的

Француз French 法语

Франчайзинг franchise 特权

Футболка T-shirt 体恤衫

Ханым Ms,Mrs 女士，太太

Христиан Christian 基督教

Христиандық Christianity 基督教

Шабыт inspiration 灵感

Шелек bucket 桶

Шу noise 噪声

Шығанақ bay 湾

Шығыс eastern,east 东，东

аборт abortion 流产

абсолютті absolute 绝对

авто auto 自动

автобус bus 巴士

автоматты түрде automatically 自动的

автономия autonomy 自治

автор author 作者

авторизациялау authorize 授权

агент agent 代理

агенттік agency 机构

агрессивті aggressive,offensive 侵略性，进攻性

агрессия aggression 侵略

адал honestly,honest 诚实，诚实

адалдық loyalty 忠诚

адам person,human,man 人，人，人

адамдар people 人

адамзат humanity 人类

адвокат advocate,attorney,counsel 辩护人，律师，法律顾问

аз fewer,less 更少，更少

азайту decrease,reduce,minimize,diminish 减少，减少，最小化，减少

азамат citizen 公民

азаматтық civic,civilian,civil,citizenship 公民，民事，公民，公民

азап шегу suffer 遭受

азап шегуші suffering 痛苦

аздап bit 位

азшылық minority 少数民族

азық-түлік grocery 杂货店

ай month,moon 月，月

ай сайын monthly 每月

аймақ zone,region 区域，区域

аймақтық regional 地域

айна mirror 镜子

айналасында around 周围

айналдыру spin 纺

айнымалы variable 变量

айрықша distinctive 独特

айтарлықтай considerably,greatly,largely 相当，很大，很大程度上

айту say,tell 说，告诉

